"bundle id","bundle title","tag"
"828","Friday Special #30",NULL
"837","Every Monday #104",NULL
"851","Hump Day Bundle #19",NULL
"876","Every Monday Bundle #105",NULL
"890","Reverberation Bundle",NULL
"892","The Breakout Bundle",NULL
"897","Every Monday #106",NULL
"911","DAEDALIC MEGA Bundle",NULL
"916","Friday Special #31",NULL
"917","Every Monday #107",NULL
"920","Hump Day Bundle #20",NULL
"921","The Surf 'N' Kerf Bundle",NULL
"926","Dead Island Super Bundle",NULL
"932","Every Monday #108",NULL
"937","The Indie Parade Bundle",NULL
"942","The &quot;IndieGalactic Bundle&quot;",NULL
"949","Doorways Bundle",NULL
"950","Every Monday #109",NULL
"954","Virtual Reality Bundle",NULL
"957","Friday Special #32",NULL
"965","Every Monday #110",NULL
"978","Hump Day #21",NULL
"983","Majesco Bundle",NULL
"986","Every Monday #111",NULL
"993","STEAMulating Bundle",NULL
"998","Indie Shindy Bundle",NULL
"1004","Every Monday #112",NULL
"1008","Anime Angels Mega Bundle",NULL
"1016","Friday Special #33",NULL
"1027","Every Monday #113",NULL
"1030","Every Monday #13",NULL
"1031","Hump Day #22",NULL
"1040","Artifex Mundi Bundle",NULL
"1050","Every Monday #114",NULL
"1054","The 8FLOOR Bundle",NULL
"1059","Indie Life Bundle",NULL
"1069","Every Monday #115",NULL
"1080","Steamy Summer Bundle",NULL
"1081","Indie Gala Colossus",NULL
"1085","Friday Special #34",NULL
"1088","Every Monday #116",NULL
"1094","Hump Day #23",NULL
"1097","Anuman Interactive Bundle",NULL
"1100","Every Monday #117",NULL
"1105","Go Postal Bundle",NULL
"1114","Every Monday #118",NULL
"1115","Every Monday #118",NULL
"1119","Steel and Giants Bundle",NULL
"1124","Friday Special #35",NULL
"1126","Every Monday #119",NULL
"1131","Hump Day #24",NULL
"1135","The Goosebumps Bundle",NULL
"1138","Monday Motivation Bundle",NULL
"1140","The Raving Aces Bundle",NULL
"1144","Dagestan Technology Bundle",NULL
"1146","The Offspring Bundle",NULL
"1148","Indiepolis Bundle",NULL
"1152","Friday Special #36",NULL
"1156","Monday Motivation Bundle #2",NULL
"1160","Hump Day Bundle #25",NULL
"1163","The Dharker Studio Bundle",NULL
"1170","The Indie Xplorer Bundle",NULL
"1174","Indie Evolution Bundle",NULL
"1180","Monday Motivation Bundle #3",NULL
"1184","Artifex Mundi Bundle #2",NULL
"1188","Friday Special Bundle #37",NULL
"1190","The Chroma Bundle",NULL
"1194","Hump Day Bundle #26",NULL
"1198","The Indie Case Z Bundle",NULL
"1201","Monday Motivation Bundle #4",NULL
"1204","The DeLucius Bundle",NULL
"1209","Action &amp; Romance Anime Bundle",NULL
"1216","Anuman Interactive Bundle #2",NULL
"1219","Indie Gala Greenlight Bundle 1",NULL
"1220","Friday Special Bundle #38",NULL
"1225","Monday Motivation Bundle #5",NULL
"1233","Hump Day Bundle #27",NULL
"1240","The Indie Mogul Bundle",NULL
"1253","The Secret Octagon Bundle",NULL
"1255","The Indie Prime Bundle",NULL
"1257","Monday Motivation Bundle #6",NULL
"1264","Friday Special Bundle #39",NULL
"1267","The Real Mega Bundle",NULL
"1270","Indie Gala Greenlight Bundle 2",NULL
"1272","Hump Day Intensive Edition Bundle",NULL
"1276","The Indie Tales Bundle",NULL
"1288","Monday Presidential Bundle",NULL
"1300","JetDogs Studio Bundle",NULL
"1305","Indie Break Off Bundle",NULL
"1307","The Spooktacular Bundle",NULL
"1314","EQ Games Bundle",NULL
"1316","Friday Special Bundle #40",NULL
"1326","Monday Motivation Bundle #8",NULL
"1330","Hump Day Fury Bundle",NULL
"1333","Indie Gala Greenlight Bundle 4",NULL
"1334","The Indie Journey Bundle",NULL
"1341","Freddy's Halloween Bundle",NULL
"1345","The Indie Crusade Bundle",NULL
"1349","Battles &amp; Emprises Bundle",NULL
"1355","Monday Motivation Bundle #9",NULL
"1366","Friday Potus Bundle",NULL
"1370","Hump Day Bundle #30",NULL
"1374","The Indie Zone Bundle",NULL
"1380","Monday Motivation Bundle #10",NULL
