id,sku,type
399,223830,Game
400,263280,Game
401,255340,Game
402,221100,Game
403,237990,Game
404,251470,Game
405,252490,Game
406,293740,Game
407,299540,Game
408,61700,Game
409,39140,Game
410,23600,Game
411,24480,Game
412,70400,Game
413,80200,Game
414,226620,Game
415,211820,Game
416,104100,Game
417,236930,Game
418,8400,Game
419,283680,Game
420,238370,Game
421,242880,Game
422,261680,Game
423,262750,Game
424,275180,Game
425,15130,Game
426,307570,Game
427,258520,Game
428,305050,Game
429,301970,Game
430,285900,Game
431,286140,Game
432,282070,Game
433,242680,Game
434,221560,Advertising
435,223410,Game
436,212050,Game
437,55040,Game
438,34010,Game
439,37260,Game
440,227000,Game
441,231310,Game
442,250110,Game
443,250700,Game
444,248290,Game
445,246900,Game
446,237850,Game
447,244850,Game
448,253330,Game
449,8980,Game
450,4500,Game
451,38400,Game
452,200390,Game
453,41700,Game
454,20510,Game
455,238210,Game
456,620,Game
457,259620,Game
458,246600,Application
459,99300,Game
460,34830,Game
461,225160,Game
462,202730,Game
463,92300,Game
464,33950,Game
465,211440,Game
466,224420,Game
467,63700,Game
468,214250,Game
469,257830,Game
470,224220,Game
471,254440,Game
472,248490,Game
473,29130,Game
474,283040,Game
475,49520,Game
476,110600,Game
477,20900,Game
478,45720,Game
479,630,Game
480,263100,Game
481,70660,Game
482,500,Game
483,246360,Game
484,1250,Game
485,270090,Game
486,278530,Game
487,206610,Game
488,47000,Game
489,223000,Game
490,275810,Game
491,289890,Game
492,327910,Game
493,287860,Game
494,284870,Game
495,12480,Game
496,258090,Game
497,262142,dlc
498,282800,Game
499,290970,Game
500,255280,Game
501,299660,Game
502,301950,Music
503,249930,Game
504,289180,Game
505,15520,Game
506,269230,Game
507,108100,Advertising
508,210390,Advertising
509,214310,Advertising
510,281240,Game
511,256050,Game
512,300280,Game
513,304670,Game
514,21600,Game
515,105450,Game
516,61500,Game
517,61520,Game
518,92900,Game
519,223630,Game
520,95900,Game
521,201490,Game
522,308380,Game
523,291130,Game
524,108710,Game
525,202750,Game
526,296850,Game
527,22650,Game
528,22670,Game
529,22610,Game
530,98900,Game
531,217920,Game
532,49540,Game
533,33100,Game
534,211010,Game
535,33120,Game
536,207000,Game
537,110610,Game
538,204140,Game
539,265870,Game
540,2590,Game
541,63110,Game
542,33990,Game
543,291030,Game
544,274310,Game
545,115210,Game
546,115220,Game
547,302190,Game
548,239200,Game
549,289090,Game
550,242940,Game
551,91810,Game
552,18700,Game
553,278890,Game
554,275330,Game
555,217690,Game
556,234900,Game
557,237780,dlc
558,251530,Game
559,252170,Game
560,233550,Game
561,39630,Game
562,39640,Game
563,24420,Game
564,269610,Game
565,39690,Game
566,65610,Game
567,65400,Game
568,207730,Game
569,33910,Game
570,65700,dlc
571,224580,Mod
572,65720,dlc
573,65790,Game
574,65780,Game
575,224860,Game
576,289200,Game
577,15100,Game
578,48190,Game
579,33230,Game
580,201870,Game
581,208480,Game
582,307130,Game
583,12900,Game
584,205870,Game
585,65500,Game
586,112100,Game
587,46410,Game
588,206020,Game
589,206040,Game
590,206060,Game
591,272010,Game
592,207670,Game
593,253370,Game
594,209360,Game
595,37100,Game
596,235070,Game
597,255960,Game
598,228280,Game
599,257350,Game
600,207020,Game
601,269490,Game
602,35140,Game
603,200260,Game
604,277490,Game
605,280930,Game
606,285130,Game
607,6870,Game
608,12460,Game
609,259490,Game
610,246800,Game
611,231040,Game
612,49600,Game
613,272680,dlc
614,104200,Game
615,37420,Game
616,243120,Game
617,219760,Game
618,297100,Game
619,35600,Game
620,316740,Game
621,203750,Game
622,21670,Game
623,21680,Game
624,314200,Game
625,317290,Game
626,7670,Game
627,8870,Game
628,312010,Game
629,205060,Game
630,205080,Game
631,205090,Game
632,218060,Game
633,63710,Game
634,205070,Game
635,313140,Game
636,249650,Game
637,292930,Game
638,286460,Game
639,286480,Game
640,264480,Game
641,208670,Game
642,225600,Game
643,257630,Game
644,272690,dlc
645,263300,Game
646,239800,Game
647,303870,Game
648,315070,Game
649,250340,Game
650,111800,Game
651,270110,Game
652,258220,Game
653,327920,Game
654,260250,Game
655,242960,Game
656,281220,Game
657,90400,Game
658,46000,Game
659,313590,Game
660,27920,Game
661,65920,dlc
662,40940,dlc
663,50110,dlc
664,8990,dlc
665,289220,Game
666,207690,Game
667,315930,Game
668,285800,Game
669,266130,Game
670,107300,Game
671,250460,Game
672,319850,Game
673,279990,Game
674,248370,Game
675,296210,Game
676,302130,Game
677,33600,Game
678,225080,Game
679,12200,Game
680,207710,Game
681,111400,Game
682,269430,Game
683,50510,Game
684,302080,Game
685,262980,Game
686,251390,Game
687,3020,Game
688,204450,Game
689,209750,Game
690,95300,Game
691,264320,Game
692,271820,Game
693,41740,Game
694,65740,Game
695,29800,Game
696,301740,Game
697,204360,Game
698,253430,Game
699,234080,Game
700,200900,Game
701,23460,Game
702,11360,Game
703,287100,Game
704,39670,Game
705,302240,Game
706,214610,Game
707,259340,Game
708,46420,Game
709,46430,Game
710,34800,Game
711,269330,Game
712,286991,dlc
713,262590,Game
714,281430,Game
715,269590,Game
716,11420,Game
717,284830,Game
718,72400,Game
719,72000,Game
720,262390,Game
721,301690,Game
722,296530,Game
723,260650,Game
724,289620,Game
725,293320,Game
726,34820,Game
727,254020,Game
728,299260,Game
729,6830,Game
730,6840,Game
731,6800,Game
732,6810,Game
733,231430,Game
734,317170,Game
735,4720,Game
736,204560,Game
737,264240,Game
738,298810,dlc
739,203560,Game
740,263340,Game
741,224460,Game
742,261880,Game
743,297110,Game
744,63620,Game
745,4870,Game
746,4850,Game
747,4880,Game
748,4890,Game
749,115200,Game
750,10,Game
751,80,Game
752,100,Game
753,730,Game
754,240,Game
755,11390,Game
756,18420,Game
757,18460,Game
758,18450,Game
759,18400,Game
760,18407,dlc
761,265240,Game
762,206410,Game
763,71230,Game
764,49810,Game
765,280220,Game
766,105300,Game
767,286930,Game
768,323430,Game
769,204940,Game
770,203770,Game
771,306410,Game
772,107310,Game
773,283410,Game
774,299420,Game
775,207250,Game
776,228440,Game
777,235720,Game
778,12310,Game
779,293840,Game
780,302210,Game
781,242980,Game
782,12790,Game
783,27400,Game
784,280560,Game
785,73170,Game
786,260690,Game
787,260710,Game
788,46750,Game
789,2130,Game
790,2100,Game
791,257050,Game
792,293720,Game
793,293880,Game
794,29900,Game
795,280640,Game
796,50650,Advertising
797,211420,Game
798,12330,Game
799,320320,Game
800,45710,Game
801,45730,Game
802,329000,Game
803,311860,Game
804,33540,Game
805,242800,Game
806,303390,Game
807,286040,Game
808,231330,Game
809,27940,Game
810,211800,Game
811,91310,Game
812,222900,Advertising
813,216250,Game
814,211400,Game
815,264730,Game
816,222980,Game
817,224060,Game
818,45740,Game
819,45770,Game
820,259700,Game
821,203810,Game
822,18040,Game
823,18050,Game
824,9800,Game
825,34410,Game
826,204760,Game
827,218410,Game
828,73060,Game
829,233110,Game
830,63800,Game
831,217100,Game
832,98600,Game
833,215630,Game
834,214340,Game
835,283330,Game
836,260730,Game
837,9710,Game
838,238010,Game
839,6550,Game
840,45700,Game
841,70500,Game
842,277870,Game
843,46720,Game
844,94000,Game
845,70000,Game
846,1640,Game
847,1630,Game
848,10270,Game
849,33670,Game
850,200670,Game
851,281450,Game
852,16000,Game
853,205100,Game
854,208981,dlc
855,214170,Game
856,243950,Game
857,230170,Game
858,219780,Game
859,230760,Game
860,230050,Game
861,220440,Game
862,57800,Game
863,268830,Game
864,214320,Game
865,214330,dlc
866,214331,dlc
867,248510,Game
868,208200,Game
869,248470,Game
870,289820,Game
871,289840,Game
872,279560,Game
873,252890,Game
874,11050,Game
875,289800,Game
876,327940,Game
877,12640,Game
878,33770,Game
879,296870,Game
880,215790,Game
881,263380,Game
882,219200,Game
883,240180,Game
884,225140,Game
885,240200,Game
886,57900,Game
887,209390,Game
888,229520,Game
889,322580,Game
890,302310,Game
891,57650,Game
892,200550,Game
893,39190,Game
894,39200,Game
895,39160,Game
896,98800,Game
897,248800,Game
898,232050,Game
899,253860,Game
900,253880,Game
901,259300,Game
902,259280,Game
903,1900,Game
904,305780,Game
905,219910,Game
906,255320,Game
907,244870,Game
908,301460,Game
909,235820,Game
910,251310,Game
911,289280,Game
912,25850,Game
913,42930,Game
914,42950,Game
915,42940,Game
916,10500,Game
917,299150,Game
918,253980,Game
919,207570,Game
920,284770,Game
921,263520,Game
